"1";"1";"Научные и научно-популярные"
"2";"1";"Передачи о природе"
"3";"1";"Художественные фильмы"
"20";"2";"Русский"
"21";"2";"Английский"
"22";"2";"Немецкий"
"30";"3";"мама убирает, мне лень"
"31";"3";"раз в неделю"
"32";"3";"часто"
"40";"4";"читаю "
"41";"4";"общаюсь с друзьями"
"42";"4";"сижу за компьютером "
"43";"4";"занимаюсь творчеством "
"44";"4";"ничего "
"50";"5";"Теряюсь, впадаю в ступор, не знаю что делать"
"51";"5";"Сразу знаю, что делать, быстро начинаю действовать"
"52";"5";"Не решаю проблему сам(а), ищу помощь со стороны"
"60";"6";"конструктор"
"61";"6";"пазлы"
"62";"6";"куклы"
"63";"6";"спортивные игры"
"64";"6";"настольные игры"
"65";"6";"активные игры"
"70";"7";"Мюнхгаузен"
"71";"7";"Халк"
"72";"7";"Знайка"
"73";"7";"Трубадур"
"74";"7";"Айболит"
"80";"8";"Художественные"
"81";"8";"Спортивные"
"82";"8";"Исторические"
"1";"работа с людьми"
"2";"работа с бумагами"
"3";"физподготовка"
"4";"любовь к детям"
"5";"работа с техникой;"
"6";"работа с растениями и животными;"
"7";"управление автомобилем"
"8";"исследовательская работа"
"9";"перфекционизм"
"10";"художественная деятельность"
"11";"интеллектульная деятельность"
"12";"организационные навыки"
"13";"артистизм"
"14";"применение грубой физическчской силы"
"15";" Ухаживать за животными"
"16";"Выводить новые сорта растений"
"17";"Оказывать людям медпомощь"
"18";"неконфликтость"
"19";"грамотность"
"20";"склонность к иностранным языкам"
"7";"Буряк"
"9";"Белов"
"70";"13";"1"
"71";"14";"1"
"71";"3";"1"
"72";"19";"1"
"72";"11";"1"
"72";"9";"1"
"73";"10";"1"
"73";"13";"1"
"73";"6";"1"
"74";"6";"1"
"74";"15";"1"
"74";"17";"1"
"21";"20";"1"
"22";"20";"1"
"21";"19";"1"
"22";"19";"1"
"60";"5";"1"
"60";"8";"1"
"60";"11";"1"
"61";"4";"1"
"61";"8";"1"
"61";"9";"1"
"62";"15";"1"
"62";"17";"1"
"62";"17";"1"
"63";"14";"1"
"63";"3";"1"
"64";"4";"1"
"64";"9";"1"
"64";"11";"1"
"65";"3";"1"
"65";"14";"1"
"1";"11";"1"
"1";"8";"1"
"1";"5";"1"
"1";"14";"-1"
"2";"15";"1"
"2";"16";"1"
"2";"14";"-1"
"2";"4";"1"
"3";"1";"1"
"3";"10";"1"
"3";"13";"1"
"3";"14";"-1"
"80";"10";"1"
"80";"13";"1"
"81";"3";"1"
"81";"14";"1"
"82";"2";"1"
"82";"8";"1"
"82";"11";"1"
"50";"11";"-1"
"50";"12";"-1"
"51";"11";"1"
"51";"12";"1"
"52";"11";"0"
"52";"12";"1"
"40";"1";"1"
"41";"13";"1"
"42";"5";"1"
"43";"10";"1"
"44";"11";"0"
"40";"19";"1"
"1";"физрук"
"2";"трудовик"
"3";"пограничник"
"4";"милиционер"
"5";"кладовщик"
"6";"строитель"
"7";"гениколог"
"8";"венеролог"
"9";"паталогоанатом"
"10";"администратор"
"11";"учитель труда"
"12";"фармацевт"
"13";"ветеринар"
"14";"физик"
"15";"механник"
"16";"журналист"
"17";"певец"
"18";"художник"
"19";"переводчик"
"20";"охранник"
"21";"музыкант"
"22";"пожарный"
"23";"программист"
"24";"агроном"
"25";"инженер"
"26";"актер"
"27";"повар"
"28";"швея"
"29";"дизайнер"
"30";"библиотекарь"
"1";"1";"3"
"2";"1";"1"
"3";"1";"4"
"4";"2";"1"
"5";"2";"4"
"6";"2";"5"
"7";"3";"1"
"8";"3";"17"
"9";"3";"12"
"10";"4";"1"
"11";"4";"4"
"12";"4";"12"
"13";"4";"11"
"14";"4";"14"
"15";"5";"20"
"16";"6";"2"
"17";"6";"19"
"18";"7";"2"
"19";"7";"8"
"20";"7";"14"
"21";"7";"18"
"22";"8";"15"
"23";"8";"16"
"24";"8";"6"
"25";"8";"2"
"26";"9";"1"
"27";"9";"6"
"28";"9";"8"
"29";"9";"17"
"30";"10";"5"
"31";"10";"17"
"32";"10";"20"
"101";"11";"1"
"102";"11";"10"
"103";"12";"8"
"104";"12";"17"
"105";"13";"6"
"106";"13";"15"
"107";"14";"8"
"108";"14";"11"
"109";"15";"5"
"110";"15";"7"
"111";"16";"1"
"112";"16";"19"
"113";"17";"1"
"114";"17";"13"
"115";"18";"9"
"116";"18";"10"
"117";"19";"19"
"118";"19";"20"
"119";"20";"3"
"120";"20";"4"
"201";"21";"10"
"202";"21";"13"
"203";"22";"3"
"204";"22";"17"
"205";"23";"5"
"206";"23";"11"
"207";"24";"6"
"208";"24";"16"
"209";"25";"11"
"210";"25";"18"
"211";"26";"13"
"212";"26";"10"
"213";"27";"9"
"214";"27";"18"
"215";"28";"9"
"216";"28";"5"
"217";"29";"10"
"218";"29";"9"
"219";"30";"19"
"220";"30";"18"
"1";"Какие телепередачи Вы любите смотреть?"
"2";"Какими языками Вы владеете?"
"3";"Как часто Вы убираетесь в своей комнате?"
"4";"Как вы проводите свободное время "
"5";"Как вы ведете себя в экстремальных ситуациях?"
"6";"В какие игры или с какими игрушками вы любили играть в детстве?"
"7";"На какого персонажа Вы бы хотелі быть похожи?"
"8";"Какие кружки вы посещали?"
"700";"7";"1"
"900";"9";"2"
"901";"9";"20"
"902";"9";"21"
"903";"9";"31"
"904";"9";"42"
"905";"9";"51"
"906";"9";"60"
"907";"9";"64"
"908";"9";"74"
"909";"9";"81"
"911";"7";"20"
"912";"7";"31"
"913";"7";"41"
"914";"7";"42"
"915";"7";"43"
"916";"7";"51"
"917";"7";"60"
"918";"7";"63"
"919";"7";"64"
"921";"7";"65"
"922";"7";"73"
"923";"7";"81"
"924";"7";"80"
